objectID,name,brand
8217054,LG - 1.4 Cu. Ft. Mid-Size Microwave - Smooth White,LG
3546009,LG - 2.2 Cu. Ft. Over-the-Range Microwave - Stainless-Steel,LG
3545028,LG - 2.2 Cu. Ft. Over-the-Range Microwave - Stainless-Steel,LG
5591079,LG - TurboWash 4.3 Cu. Ft. 12-Cycle High-Efficiency Steam Front-Loading Washer - Graphite Steel,LG
4223907,"Logitech - BLOK Protective Shell for Apple® iPad® mini, iPad mini 2 and iPad mini 3 - Teal/Blue",Logitech
9627588,Mavea - Classic Fit 9-Cup Water Filter Pitcher - Purple,Mavea
6625305,Maverick - Voice Alert Digital Thermometer - Silver,Maverick
9483147,Moshi - SenseCover Case for Apple® iPhone® 6 - Pink,Moshi
1750293,Nanette Lepore - Case for Apple® iPhone® 6 Plus and 6s Plus - Black,Nanette Lepore
8767017,Ninja - Nutri 2-in-1 Nutrient & Vitamin Extractor - Black,Ninja
6914538,Nostalgia Electrics - Hot Oil Kettle Countertop Popcorn Maker - Red/Gold,Nostalgia Electrics
2863323,One All - Reusable Single-Serve Coffee Filter for K-Cup Systems - Black,One All
6882579,Oster - 8-Speed Blender - Black,Oster
8773002,Samsung - 19.4 Cu. Ft. French Door Refrigerator - Stainless Steel,Samsung
6973461,Samsung - 21.6 Cu. Ft. French Door Refrigerator - Black,Samsung
7676019,Samsung - 22.5 Cu. Ft. Counter-Depth French Door Refrigerator with Thru-the-Door Ice and Water - Stainless-Steel,Samsung
3464046,Samsung - 4.5 Cu. Ft. 13-Cycle High-Efficiency Steam Front-Loading Washer - White,Samsung
3464055,Samsung - 7.5 Cu. Ft. 13-Cycle Electric Dryer with Steam - White,Samsung
3464037,Samsung - 7.5 Cu. Ft. 13-Cycle Steam Gas Dryer - Onyx,Samsung
9542052,Samsung - Flex Duo 5.8 Cu. Ft. Self-Cleaning Freestanding Double Oven Gas Convection Range - Black Stainless,Samsung
1687806,Shark - Rocket Professional Bagless Upright Vacuum - Copper/Gray,Shark
